Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Unnamed: 65
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.83227780370235,1.41411798021913,11.229714838859401,5.35740324754596,13.8263195390595,3.9249838228452796,21.390528405312,14.362441459681499,0.4263547928565711,12.7522870825789,5.600744661318691,2.72454336495092,1.45131465457983,2.26031420454613,2.64700320230295,1.18922812897529,3.9116034186069704,,
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,-4.4000012193616795,0.0,4.20000142834162,6.000002164373,3.49999948953467,2.9000017426512,4.08274863648847,6.1288904762001595,0.0416214618442581,-3.45009868360484,0.9913593014608749,-5.83828073313141,-23.9834174420578,1.3393634364799099,15.0000000288634,13.544369755102599,7.27427735460373,4.691146450935519,2.18148971840458,3.05462423430785,4.2059985561951,13.6656865230232,2.98985001039553,10.952861768710301,15.028915317530197,11.547683178163302,14.010018242632801,11.166138330361399,0.858712615098284,4.403932543437611,3.47197634454024,8.542187642653719,4.95454464636187,4.82262756838996,0.943571561325001,-2.58004964404932,-0.147212941085755,-2.0036297273020103,-0.624644317706895,,
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.427842879512481,-0.852021523482009,-5.30819682651725,10.1302976614338,10.569433340342801,-0.659726171593704,3.1919966233703,4.82250078158644,9.67952600806899,3.04564331900328,5.65813108318036,1.6284165162551103,2.81175404095775,5.5338043948322,-0.0284121027670778,-2.01825151667566,6.934147755379749,-4.5061248024769505,10.222763464872699,1.51878394940456,-5.18978914005386,-0.7356591616272959,4.3490932795742205,1.5707387022300698,-5.189024352155291,6.15337706274559,2.7048688260089304,-1.08993334173134,-7.156949655549719,-2.4672137763745896,9.13311056620101,7.937291556430759,8.20697907221228,5.83620070368526,-2.84520961057079,5.526689827152341,8.1110467707457,3.85017885156228,-3.3854570406326903,-0.78899893905691,-4.40883968258557,-10.8944848285903,8.837040795769239,9.02957330068152,8.851659920134368,8.04715150043027,9.00765087504757,4.05723310346406,-5.91852507634947,10.1253981561002,6.003951692805789,-1.0264204544320998,2.40532378079436,-2.5126153208139397,2.7311598282894396,-2.08032784377811,2.81850297245272,-2.56535187644216,-2.08801486381233,,
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,2.4857694918794704,1.29608735213831,6.21463039549282,6.97852215948878,5.98350598919795,2.3824584225947203,6.30262019041623,5.0958138004770195,7.044329321417591,7.1721865762751404,4.00368353437398,3.91252352957896,2.61372315111119,4.10336216123119,1.34991678730046,2.58769620026857,3.59742756746006,0.896879845528218,4.04348669176025,3.03424587145736,3.33776813804133,3.32844193385323,-2.22047012220898,4.58129721922676,5.24932960928453,4.03752885052448,2.5511704588515403,5.74338158549649,3.8611735161544103,3.57099814702293,-0.39781769961490504,0.41218470060933,4.02990646050326,3.9838901529317097,3.837755292963,3.8785852933782405,3.96653766174953,4.57668875918884,5.07359909510564,3.9331369447020603,1.93085759225417,4.0014040616517,2.98593432165801,4.055451967509581,3.20426979287869,2.79453702446311,3.84423031556788,3.65795352556486,1.93699392030038,2.067417127684,2.46275631162725,3.9181628709411203,2.5848977015489303,2.5331146653882004,2.19264742646037,2.7706521973025002,2.3006106235942503,2.94928577160958,2.16095629535999,,
Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,6.05816082548085,5.4530309698718895,-0.45589428993871206,10.952788546041699,1.6062582289157599,2.56681200128052,-1.87586391964774,9.48945401547951,1.22085790909685,5.61985229280111,-5.47948302721956,-13.9737287020439,3.32568019878394,9.591956300418449,-4.08821409181658,5.661361201196639,2.6730560500198397,7.073837732606901,4.80163460055662,0.8191418688989099,7.23394369490723,2.1343278357707502,3.8810463998171496,4.80331001525438,3.3420146541541405,4.173382559004,3.7724018525270497,2.41625685566223,2.8365821290792597,5.62225816160702,3.4852278153552003,5.44268555072129,4.7115617244945005,3.89012644065639,5.1212778971616295,4.522919217623441,4.489896497356309,5.17702687345256,4.670156368278651,5.2932947184604,5.0772877759731205,3.83312394005608,4.73956739916446,5.2395329104527,6.535944940523519,6.671904981481481,7.0585993565727,6.01378975923306,5.045124794177379,5.57178818823149,6.46437912329563,6.5214587808420195,6.01360565777871,6.061059358772139,6.552639878796509,7.113478213272691,7.28417442269364,7.86374303036237,8.15268494677524,,
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,10.275911554301,5.21605942017898,0.874672592408302,3.4855823042772003,3.0534878936692404,4.15036023303348,4.9152656750112405,11.4272823832672,9.73582688991277,8.76994747172606,11.295086843350198,12.0528022500388,13.9786916510762,9.04212031316946,5.209075901143651,9.79041016147646,4.60631806113751,3.2317095633357398,6.76628496532688,9.110960155171679,-4.39335720034877,0.58024555339469,-3.4097934737163595,5.26914314976867,7.94586174871235,7.98829510486276,3.5996294668086897,-0.10267271838372902,3.2794588579642303,-3.10235594875007,1.51193723815426,-0.466913211737747,4.66516899045992,5.33455170168176,4.416731355437321,2.20753552677458,3.3948459848441805,0.338097902952427,0.467937567378257,4.38794944267383,1.3898964032589298,3.05346185795257,1.14082899810009,5.75996463871775,3.2021313799023505,3.9619887218498797,6.069870607718401,5.09419544732717,-0.12581199941486398,7.52822583005563,3.97442540583816,1.9211503183630498,3.00484630505706,0.503955740242247,-3.5457633926942496,-3.27591690782192,1.32286905404399,1.31722399870793,1.13658557200958,,
Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,3.16329168371298,7.42538477443719,5.34954645713648,6.64289441498821,6.31671417557232,6.7049917643470796,3.0912059621780896,4.995666604640429,5.04545636736964,11.9535716774982,3.9702506196117997,5.50968382512025,6.83574217770631,3.28032305546857,1.46123677078165,5.87863016314196,3.43815143649844,3.6835089701971797,3.7111683833193303,2.15553743661219,3.47412638547884,-3.18726208287583,2.60133934896891,5.90845712308878,4.73739982911172,2.1449720333144997,4.07295914712257,4.4101109794303,2.31697928941396,0.164672580306785,-2.08608546761636,0.900259560172984,2.66085658586188,4.49446618172855,2.69397628551813,1.6191724902275602,-3.8452944163932004,2.79654247993439,3.97048263689422,4.91776274356224,1.40552758872816,3.4221461713249304,3.81109015282463,3.91402878219242,4.99586086930171,4.16581762720676,6.868608857030469,1.0076226954575602,-2.92840016684549,3.08949461982786,3.14688137207058,1.7622225494588102,2.3291225062102003,2.87003607545671,0.659176863558869,1.00139441390405,3.1707298965875297,2.01363918733426,1.65604084498516,,
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,-27.270000003946098,-5.579999990136,10.299999995275801,18.179999994202,16.950000002496,10.650000004173599,-5.77000000422508,-4.09999999214142,16.9399999961093,19.299999996256002,7.06000000335179,3.80999999825444,7.7600000016445,2.31000000049113,8.720000000475121,-1.57000000275067,7.56999999917166,11.3259779901995,7.591324680000299,7.83414501593799,5.11276109058912,9.01711391382203,10.7702025065715,15.1915400236134,13.430677520406402,8.94996176438008,11.6574277931357,11.222594982521,4.20633435547815,3.9202513677656903,9.262786084621741,14.2245295924457,13.8837293020436,13.0368066326902,10.9539543420185,9.922556752884589,9.23677989169124,7.84595178733933,7.66165150045002,8.49009340601468,8.335733478213239,9.13363078988934,10.038030480837099,10.1136213778964,11.3945918098662,12.7209556651723,14.2308609332879,9.65067891934387,9.398725632582972,10.6358710645426,9.55083217886425,7.86373644864966,7.766150097630019,7.42576365632598,7.041328878771941,6.84876220493844,6.9472007933066795,6.749773832541809,6.11011828768078,,
Cote d'Ivoire,CIV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,9.93255515642181,1.2269944895618001,14.4903558649229,17.6130878300437,-3.1096542731538794,11.5773596873008,4.59815178481257,12.548248640008,9.53921877104177,10.375031843412499,9.45663766136524,4.23662501230655,5.939197535813019,4.32738085735423,8.25288636878652,12.9163974379442,7.31445915523163,10.909453647607501,2.39440746438655,-10.9576972660203,3.5004989074401496,0.20082235163889103,-3.9002404422400803,-2.7012614342204304,4.501223175215361,3.25934876734534,-0.348972909434281,1.1364839635205901,2.9480049449687002,-1.09590841115427,0.0409251684372549,-0.24456061203250098,-0.19248509988932502,0.8112066848511569,7.12574472410704,7.72932742178315,3.7435531443495096,4.93067962774325,1.6175274430833602,-2.06840005722563,0.121371915505208,-1.6676421381036601,-1.3595359429473999,1.23177283994625,1.7212473674956204,1.51584236326204,1.7650367840716699,2.54284147638732,3.25145371844513,2.0176385921243,-4.38725478852277,10.7065041034855,8.889421301554279,8.794077390277309,8.84285994958891,7.17920782392478,7.35963808821695,6.89028431967284,6.231709513050831,,
Cameroon,CMR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,1.18368081170732,3.0415590510083597,3.74255032024205,3.5471596957654397,2.02605371473777,4.614955620690849,-10.9120655904008,6.34632385552484,4.901479522640059,3.09206823596762,3.47970781666605,2.6738432924125,5.35568077795112,10.734262259412,11.245058774704699,-5.49513839675093,13.739871523038799,22.0030049229977,6.035118773267139,-1.96529166883708,17.0826822487541,7.51620260553759,6.86683056611419,7.4745725430174,8.0631616718716,6.771663080497791,-2.14665021191921,-7.82363197506439,-1.81912051252306,-6.105697646082691,-3.8085993724514706,-3.10000321079072,-7.932066574565741,2.1239354436073796,3.4697921483268703,4.36108651788504,5.23132070868648,4.50229124101837,4.29201694525003,3.5533743641612703,4.368084242170029,4.23720367718512,4.56719525637388,6.780955923773191,2.02066230714679,3.45766879254916,4.90220173244047,3.48880091903693,2.1986641019343303,3.4225076411544,4.1292771605696705,4.54326501566733,5.404265709717361,5.88405932668046,5.651463743628299,4.64848155087741,3.5490873182218903,4.0624868406868195,3.72071142232247,,
