date,Taliban,Islamic State of Iraq and the Levant (ISIL),Al-Shabaab,Boko Haram,New People's Army (NPA),Maoists,Communist Party of India - Maoist (CPI-Maoist),Kurdistan Workers' Party (PKK),Tehrik-i-Taliban Pakistan (TTP),Houthi extremists (Ansar Allah),Al-Qaida in the Arabian Peninsula (AQAP),Revolutionary Armed Forces of Colombia (FARC),Donetsk People's Republic,Muslim extremists,Fulani extremists
2016-09-01,83,189,43,18,2,17,5,31,14,19,5,1,0,8,5
2016-10-01,120,101,58,16,0,19,10,43,7,66,5,1,1,14,10
2016-11-01,58,118,50,39,5,22,3,17,11,41,8,1,0,9,7
2016-12-01,81,146,47,19,7,23,3,4,1,22,3,1,2,4,6
2017-01-01,61,163,42,25,18,16,11,4,1,10,5,0,1,9,8
2017-02-01,57,126,50,15,37,28,13,2,17,15,6,0,2,3,6
2017-03-01,53,98,43,14,43,10,18,9,11,13,5,0,3,8,9
2017-04-01,57,97,45,27,21,21,7,11,7,10,2,0,0,1,4
2017-05-01,99,178,58,21,33,23,15,10,4,7,1,0,1,5,12
2017-06-01,86,158,55,50,33,14,4,21,5,11,4,0,2,4,7
2017-07-01,104,131,58,39,42,8,3,24,12,13,4,0,0,9,0
2017-08-01,89,113,51,38,20,11,3,20,9,19,7,0,0,13,6
2017-09-01,85,71,46,33,28,17,6,22,6,14,2,0,0,4,3
2017-10-01,77,76,38,21,29,19,9,17,7,6,4,0,0,3,8
2017-11-01,57,59,34,25,28,22,8,6,12,16,4,0,1,3,6
2017-12-01,66,42,50,25,26,17,9,7,7,19,0,0,0,5,9
