,Unnamed: 0,Unnamed: 0.1,mode,year,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,normalized_popularity,normalized_tempo,normalized_duration_ms,dance.,speech.,live.,acoust.,ntempo,instru.,ndur.
19,19,19,1,1940,0.8476440499999951,0.52189235,182227.9445,0.311,0.31684869986499986,0.26433510000000043,-13.684048000000017,0.2429576500000001,108.44933449999992,0.617,0.93,7,0.012119273370552271,0.3233018627765892,0.228765019850348,0.522,0.243,0.264,0.848,0.32299999999999995,0.317,0.22899999999999998
49,49,49,1,1970,0.4600571139500007,0.5063075000000004,242852.1515,0.496,0.12756700308499988,0.21226880000000026,-11.772557999999995,0.051681499999999936,117.1116105,0.5720000000000001,34.3945,2,0.5260429764461922,0.6935066290424542,0.7759338380630114,0.506,0.052000000000000005,0.212,0.46,0.6940000000000001,0.128,0.7759999999999999
79,79,79,1,2000,0.28932270051635994,0.590918047034764,242724.6426380368,0.625,0.10116776879345596,0.1976860429447853,-8.247765848670758,0.08920541922290394,118.9993231083843,0.5589999999999999,46.6840490797546,7,0.7147770251305385,0.7741829091522119,0.7747829962332445,0.591,0.08900000000000001,0.198,0.289,0.774,0.10099999999999999,0.775
99,99,99,1,2020,0.2199308880935964,0.6929043349753701,193728.39753694585,0.631,0.016375524305418724,0.1785354187192117,-6.595066995073878,0.14138369458128058,124.28312857142865,0.501,64.30197044334976,1,0.9853403799595142,1.0,0.3325633144348181,0.693,0.141,0.179,0.22,1.0,0.016,0.33299999999999996
