,Unnamed: 0,mode,year,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,normalized_popularity,normalized_tempo,normalized_duration_ms,dance.,speech.,live.,acoust.,ntempo,instru.,ndur.
0,0,1,1921,0.8868960000000005,0.4185973333333336,260537.16666666663,23.18151333333333,0.34487805886666656,0.20571,-17.04866666666665,0.073662,101.53149333333329,37.93266666666666,0.6533333333333333,2,0.7870425850017765,0.02765003037478431,0.9355514120927716,41.85973333333336,7.366200000000001,20.571,88.68960000000004,2.765003037478431,34.487805886666656,93.55514120927715
1,1,1,1922,0.9385915492957748,0.4820422535211267,165469.74647887325,23.781535211267602,0.4341948697183099,0.2407197183098592,-19.275281690140844,0.1166549295774648,100.88452112676056,53.55492957746479,0.14084507042253522,10,0.0,0.0,0.07751251098711902,48.204225352112665,11.66549295774648,24.07197183098592,93.85915492957749,0.0,43.41948697183099,7.751251098711902
2,2,1,1923,0.9572467913513516,0.5773405405405401,177942.36216216214,26.24064864864865,0.37173272502702703,0.2274621621621621,-14.129210810810811,0.0939486486486487,114.0107297297297,62.54924324324328,5.389189189189189,0,8.060029119012132,0.5609824701751751,0.1900851403238775,57.734054054054006,9.39486486486487,22.74621621621621,95.72467913513516,56.09824701751751,37.1732725027027,19.00851403238775
3,3,1,1924,0.940199860169493,0.5498940677966102,191046.70762711862,34.43466101694912,0.5817009136440677,0.2352190677966101,-14.231343220338989,0.09208940677966099,120.68957203389822,66.3725423728814,0.6610169491525424,10,0.7988425291061809,0.8464200681160918,0.3083594993024735,54.989406779661024,9.2089406779661,23.52190677966101,94.0199860169493,84.64200681160918,58.17009136440677,30.835949930247352
4,4,1,1925,0.9626070503597138,0.5738633093525181,184986.92446043165,27.85935251798561,0.4182973612230215,0.2376679856115108,-14.14641366906474,0.11191798561151084,115.52192086330929,62.19287769784171,2.6043165467625897,5,3.783222171381299,0.6255671313415789,0.2536664227573056,57.386330935251806,11.191798561151083,23.76679856115108,96.26070503597138,62.556713134157896,41.82973612230215,25.366642275730563
5,5,1,1926,0.660817216981134,0.5998802612481859,156881.65747460088,21.14670907111756,0.3330931111175616,0.2323695936139332,-18.492538461538466,0.4837036284470243,109.64803265602328,43.691045718432505,1.4223512336719883,9,1.9680449220260707,0.374531328412866,0.0,59.988026124818596,48.37036284470243,23.23695936139332,66.0817216981134,37.4531328412866,33.30931111175616,0.0
6,6,1,1927,0.9361794552845558,0.6482682926829262,184993.59837398367,26.43213008130081,0.3913284986504065,0.16845024390243893,-14.422373983739831,0.11360959349593502,114.84652357723554,65.97004878048782,0.8016260162601626,7,1.0147798132549335,0.5967022816845687,0.25372665871867844,64.82682926829261,11.360959349593502,16.845024390243893,93.61794552845558,59.67022816845687,39.13284986504065,25.372665871867845
7,7,1,1928,0.9386165035685952,0.5342878667724027,214827.90642347344,20.79477954004757,0.4948354801348136,0.17528937351308488,-17.191982553528927,0.15991149881046796,106.77226169706593,49.57126883425853,1.5257731958762886,1,2.126872927211813,0.2516278194857714,0.5229986852811351,53.42878667724027,15.991149881046795,17.52893735130849,93.86165035685951,25.16278194857714,49.48354801348136,52.299868528113514
8,8,1,1929,0.6014265861344558,0.6476698529411761,168999.41281512607,24.180073529411718,0.21520403106092464,0.2360002100840333,-16.530376050420152,0.4900007352941176,110.94835714285715,63.652983193277336,0.3403361344537815,7,0.3063640166667295,0.4301040581109396,0.10936980782388388,64.7669852941176,49.00007352941176,23.60002100840333,60.142658613445576,43.01040581109396,21.520403106092463,10.936980782388387
9,9,1,1930,0.936714937370057,0.5181758835758836,195150.28534303536,33.35239189189189,0.35220592816528057,0.22131086278586296,-12.869221413721428,0.11990966735966745,109.87119438669428,61.623762993763066,0.9267151767151768,2,1.2068827418977157,0.3840687220889098,0.3453966809890229,51.81758835758836,11.990966735966744,22.131086278586295,93.67149373700569,38.40687220889098,35.220592816528054,34.53966809890229
10,10,1,1931,0.8330399585921336,0.5952217391304357,171553.42546583852,23.44967732919257,0.22141964161490724,0.22742795031055896,-16.51609420289853,0.4536189440993791,109.02528157349907,51.31170807453418,0.17080745341614906,0,0.046014071093393304,0.3479164504122476,0.13242126124397602,59.522173913043574,45.36189440993791,22.742795031055895,83.30399585921336,34.79164504122476,22.141964161490723,13.242126124397602
11,11,1,1932,0.9357705179282878,0.5577976095617526,195749.3725099601,30.20677290836656,0.22635657916334675,0.23249621513944224,-13.364055776892426,0.1390073705179282,115.11980079681273,58.81599601593626,2.151394422310757,7,3.0876569742226025,0.6083814903820698,0.3508037919988641,55.77976095617526,13.900737051792818,23.249621513944223,93.57705179282878,60.83814903820698,22.635657916334676,35.08037919988641
12,12,1,1933,0.899897909117222,0.57029030390738,196219.25759768448,27.989942112879877,0.1839489396816208,0.2090719247467437,-13.06900868306802,0.09112315484804634,112.522,59.940998552821966,6.898697539797395,7,10.378223388665555,0.4973577551894574,0.3550447789060561,57.029030390738,9.112315484804634,20.907192474674368,89.9897909117222,49.735775518945744,18.39489396816208,35.504477890605614
13,13,1,1934,0.8911487501730107,0.528705882352941,189356.1262975779,26.213131487889278,0.276382266643599,0.21345259515570927,-14.756875432525954,0.10245692041522483,115.39084602076124,55.880467128027725,1.2577854671280275,0,1.7153166632989016,0.6199653089742435,0.2931010170236506,52.8705882352941,10.245692041522483,21.345259515570927,89.11487501730106,61.99653089742435,27.638226664359898,29.31010170236506
14,14,1,1935,0.7783855599472987,0.5558691699604746,220124.24703557312,24.636697628458478,0.2258732980895915,0.2292998682476943,-15.41474967061924,0.3539123847167326,110.66795652173931,54.557779973649566,1.5013175230566536,7,2.089315665227702,0.4181204124268572,0.5708012476070113,55.586916996047464,35.39123847167326,22.92998682476943,77.83855599472987,41.81204124268572,22.58732980895915,57.08012476070113
15,15,1,1936,0.7723120800000008,0.5580055454545453,220809.1863636364,30.838860927272737,0.2571099957181816,0.2214382727272726,-14.612999090909069,0.27902936363636377,109.88875454545445,56.40635454545455,5.080909090909091,10,7.586594734238326,0.3848192008856368,0.5769832244316114,55.80055454545453,27.90293636363638,22.14382727272726,77.23120800000008,38.48192008856368,25.71099957181816,57.698322443161146
