,page,edit_type,time_column
0,Dry-Chillies-on-a-String,add_media,0.4
1,Dry-Chillies-on-a-String,modify_info,0.8
2,Dry-Chillies-on-a-String,add_media,0.4
3,Dry-Chillies-on-a-String,modify_info,0.8
4,Grill-Portobello-Mushrooms,initializer,0.3333333333333333
5,Grill-Portobello-Mushrooms,add_media,0.6666666666666666
6,Grill-Portobello-Mushrooms,initializer,0.3333333333333333
7,Grill-Portobello-Mushrooms,add_media,0.6666666666666666
8,Remedy-Common-Problems-With-Making-Injera,initializer,0.0625
9,Remedy-Common-Problems-With-Making-Injera,grammer,0.1875
10,Remedy-Common-Problems-With-Making-Injera,add_media,0.25
11,Remedy-Common-Problems-With-Making-Injera,add_media,0.375
12,Remedy-Common-Problems-With-Making-Injera,remove_info,0.375
13,Remedy-Common-Problems-With-Making-Injera,add_info,0.375
14,Remedy-Common-Problems-With-Making-Injera,remove_media,0.375
15,Remedy-Common-Problems-With-Making-Injera,modify_info,0.375
16,Remedy-Common-Problems-With-Making-Injera,add_media,0.4375
17,Remedy-Common-Problems-With-Making-Injera,add_media,0.5
18,Remedy-Common-Problems-With-Making-Injera,remove_media,0.5
19,Remedy-Common-Problems-With-Making-Injera,grammer,0.6875
20,Remedy-Common-Problems-With-Making-Injera,initializer,0.0625
21,Remedy-Common-Problems-With-Making-Injera,grammer,0.1875
22,Remedy-Common-Problems-With-Making-Injera,add_media,0.25
23,Remedy-Common-Problems-With-Making-Injera,add_media,0.375
24,Remedy-Common-Problems-With-Making-Injera,remove_info,0.375
25,Remedy-Common-Problems-With-Making-Injera,add_info,0.375
26,Remedy-Common-Problems-With-Making-Injera,remove_media,0.375
27,Remedy-Common-Problems-With-Making-Injera,modify_info,0.375
28,Remedy-Common-Problems-With-Making-Injera,add_media,0.4375
29,Remedy-Common-Problems-With-Making-Injera,add_media,0.5
30,Remedy-Common-Problems-With-Making-Injera,remove_media,0.5
31,Remedy-Common-Problems-With-Making-Injera,grammer,0.6875
32,Pipe-Frosting-Neatly,initializer,0.07142857142857142
33,Pipe-Frosting-Neatly,grammer,0.21428571428571427
34,Pipe-Frosting-Neatly,modify_info,0.21428571428571427
35,Pipe-Frosting-Neatly,add_media,0.2857142857142857
36,Pipe-Frosting-Neatly,add_media,0.42857142857142855
37,Pipe-Frosting-Neatly,add_media,0.5714285714285714
38,Pipe-Frosting-Neatly,remove_media,0.5714285714285714
39,Pipe-Frosting-Neatly,remove_info,0.6428571428571429
40,Pipe-Frosting-Neatly,add_info,0.6428571428571429
41,Pipe-Frosting-Neatly,add_info,0.7142857142857143
42,Pipe-Frosting-Neatly,grammer,0.7857142857142857
43,Pipe-Frosting-Neatly,remove_info,0.7857142857142857
44,Pipe-Frosting-Neatly,modify_info,0.8571428571428571
45,Pipe-Frosting-Neatly,remove_info,0.8571428571428571
46,Pipe-Frosting-Neatly,add_info,0.8571428571428571
47,Pipe-Frosting-Neatly,remove_media,0.9285714285714286
48,Pipe-Frosting-Neatly,initializer,0.07142857142857142
49,Pipe-Frosting-Neatly,grammer,0.21428571428571427
50,Pipe-Frosting-Neatly,modify_info,0.21428571428571427
51,Pipe-Frosting-Neatly,add_media,0.2857142857142857
52,Pipe-Frosting-Neatly,add_media,0.42857142857142855
53,Pipe-Frosting-Neatly,add_media,0.5714285714285714
54,Pipe-Frosting-Neatly,remove_media,0.5714285714285714
55,Pipe-Frosting-Neatly,remove_info,0.6428571428571429
