origin,destination,origin_country,destination_country,count
KIND,KUZA,US,US,8
KMKC,KOMA,US,US,8
KMKC,KHIG,US,US,8
KDTW,NK05,US,US,8
KMKC,KLNK,US,US,8
K95F,KTUL,US,US,8
KFRG,KCDW,US,US,8
KMKC,KCBF,US,US,8
KMKC,KBJC,US,US,8
KDVO,KO69,US,US,8
KIND,KUMP,US,US,8
KMKC,KPWA,US,US,8
KGRR,KORL,US,US,8
KDTW,KRMY,US,US,8
KMKC,KSDL,US,US,8
KDTW,KORH,US,US,8
KDTW,KMCO,US,US,8
KISM,KGIF,US,US,8
KIND,6II7,US,US,8
KMKE,KFCM,US,US,8
KISM,KDAB,US,US,8
SBSP,SDNO,BR,BR,8
SBRJ,SBST,BR,BR,8
KAFW,9XS4,US,US,8
KDWA,KEDU,US,US,8
KIND,3PS9,US,US,8
SBRJ,SBPR,BR,BR,8
KGSP,KDTW,US,US,8
KDAL,KTEX,US,US,8
VOBL,VEBA,IN,IN,8
KDTW,KCZG,US,US,8
KAFW,KMWL,US,US,8
LTAC,LTBU,TR,TR,8
KIND,K8C4,US,US,8
KDVT,KF70,US,US,8
KAFW,KGKY,US,US,8
KAFW,KPDX,US,US,8
KDVT,KGCN,US,US,8
KAFW,KFLL,US,US,8
KISM,60CO,US,US,8
KAFW,KSLC,US,US,8
KMKE,KCVG,US,US,8
GCXO,GCHI,ES,ES,8
VHSK,VHHH,HK,HK,8
KDTO,KT67,US,US,8
EGGW,EGLL,GB,GB,8
KMHT,KCLT,US,US,8
KFMY,KAPF,US,US,8
LZTT,LZIB,SK,SK,8
KJFK,KAGC,US,US,8
2MO1,KDEN,US,US,8
KMHT,KBWI,US,US,8
KIAH,71KY,US,US,8
KJFK,KBTF,US,US,8
34FD,KDAB,US,US,8
KIAH,58FD,US,US,8
KFTW,3XA8,US,US,8
KFTW,0TX0,US,US,8
KMHT,KIAD,US,US,8
TX03,KGKY,US,US,8
KJFK,77PA,US,US,8
ENUL,ENVA,NO,NO,8
KMIA,AL92,US,US,8
K61B,K3L2,US,US,8
ENUL,ENHD,NO,NO,8
OI01,KOSU,US,US,8
KGYH,KPDK,US,US,8
KGYH,SC32,US,US,8
TX03,KADS,US,US,8
KMIA,4IL3,US,US,8
20II,KEWR,US,US,8
VT25,KDCA,US,US,8
EGKR,EGTO,GB,GB,8
KABE,09FL,US,US,8
VT25,KLGA,US,US,8
KDTW,2NY7,US,US,8
KJFK,MA30,US,US,8
KMGY,OI34,US,US,8
KEDC,KF32,US,US,8
KMOD,KSQL,US,US,8
MA52,KBED,US,US,8
KGRB,KOSH,US,US,8
4MI6,KORD,US,US,8
KEDC,KHYI,US,US,8
EGLF,EGLC,GB,GB,8
KEDC,KDWH,US,US,8
KDTO,KDAL,US,US,8
KFTW,75TE,US,US,8
ENNM,ENVA,NO,NO,8
KGYI,KADS,US,US,8
KIAH,0WI5,US,US,8
KFAR,KORD,US,US,8
PA82,KDTW,US,US,8
K2W6,KHEF,US,US,8
KEDC,KAPA,US,US,8
KJFK,KUMP,US,US,8
KMHR,KBOI,US,US,8
KMHR,KBFI,US,US,8
2MI3,KMSP,US,US,8
KFMH,MA44,US,US,8
KMOD,KO27,US,US,8
LZIB,LZSV,SK,SK,8
KIAH,KAPA,US,US,8
KIAH,KARM,US,US,8
SBMT,SDAM,BR,BR,8
KDAL,KFTY,US,US,8
