origin,destination,origin_country,destination_country,count
KOSH,KMSN,US,US,7
KPHL,MA30,US,US,7
KTYS,KJWN,US,US,7
KDTS,KTPA,US,US,7
KPIE,6FL4,US,US,7
KDBQ,WI81,US,US,7
KBWI,KOPF,US,US,7
KLOT,KMDW,US,US,7
KRFD,KLOT,US,US,7
KSWF,01FL,US,US,7
KOSU,75OI,US,US,7
KORL,KRIR,US,US,7
9TX5,86TX,US,US,7
KISM,KMKE,US,US,7
LIPY,LIME,IT,IT,7
KSNA,KFFZ,US,US,7
KUGN,K10C,US,US,7
KORL,KBED,US,US,7
KATL,MN46,US,US,7
KGAI,PA73,US,US,7
YBAF,YUPH,AU,AU,7
