year,acousticness,danceability,energy,liveness,valence
2020,0.19,0.711,0.598,0.15,0.737
2010,0.177,0.88,0.751,0.106,0.884
2000,0.448,0.599,0.785,0.151,0.52
1990,0.643,0.663,0.475,0.122,0.644
1980,0.0891,0.617,0.533,0.0415,0.835
1970,0.204,0.434,0.885,0.0811,0.843
1960,0.898,0.559,0.373,0.124,0.684
1950,0.832,0.853,0.338,0.135,0.927
1940,0.927,0.5025,0.175,0.141,0.4605
1930,0.96,0.63,0.198,0.0717,0.322
1920,0.991167,0.645833,0.297333,0.111033,0.732167
