name,source,genre,year_from,year_to,rating,score,rank,popularity,members
The☆Doraemons: The Mysterious Thief Dorapan The Mysterious Cartel,Unknown,"['Kids', 'Fantasy', 'Comedy', 'Sci-Fi', 'Shounen']",1997,,PG,6.92,3969.0,8895.0,966.0
The☆Doraemons: Mushimushi Pyonpyon Daisakusen!,Unknown,['Fantasy'],1998,,PG,6.5,5815.0,9514.0,696.0
Doraemon: It's New Year!,Unknown,"['Kids', 'Comedy', 'Sci-Fi', 'Shounen']",1979,,PG,6.68,4963.0,9223.0,815.0
"The☆Doraemons: Strange, Sweets, Strange?",Unknown,['Fantasy'],1999,,PG,6.64,5193.0,9693.0,633.0
Doraemon and Itchy the Stray,Unknown,"['Comedy', 'Kids', 'Sci-Fi', 'Shounen']",1987,,PG,6.74,4707.0,9239.0,805.0
Doraemon Meets Hattori the Ninja,Unknown,"['Comedy', 'Kids', 'Sci-Fi', 'Shounen']",1982,,PG,7.05,3465.0,8646.0,1100.0
The☆Doraemons: Goal! Goal! Goal!!,Unknown,"['Kids', 'Fantasy', 'Sports', 'Comedy', 'Sci-Fi', 'Shounen']",2002,,PG,6.39,6254.0,9481.0,709.0
Doraemon: Time Machine de Oshougatsu,Unknown,"['Sci-Fi', 'Adventure', 'Comedy', 'Kids', 'Shounen']",1980,,PG,6.77,4545.0,9274.0,792.0
The☆Doraemons: Dokidoki Kikansha Daibakusou!,Unknown,"['Adventure', 'Comedy', 'Fantasy', 'Kids', 'Sci-Fi', 'Shounen']",2000,,PG,6.66,5083.0,9427.0,733.0
Doraemon: Doraemon Comes Back,Unknown,"['Comedy', 'Fantasy', 'Kids', 'Sci-Fi', 'Shounen']",1981,,PG,7.26,2613.0,8562.0,1136.0
Doraemon: Featherplace,Unknown,"['Comedy', 'Fantasy', 'Kids', 'Sci-Fi', 'Shounen']",1993,,PG,6.61,5296.0,9668.0,639.0
"Dorami-chan: Wow, The Kid Gang of Bandits",Unknown,['Fantasy'],1991,,G,6.01,7671.0,12091.0,205.0
Doraemon: It's Autumn!,Unknown,"['Kids', 'Adventure', 'Fantasy', 'Comedy', 'Shounen']",1986,,PG,6.44,6017.0,9390.0,749.0
Doraemon: It's Spring!,Unknown,"['Kids', 'Adventure', 'Fantasy', 'Comedy', 'Shounen']",1983,,PG,6.59,5383.0,9421.0,736.0
Dorami-chan: Hello Kyouryuu Kids!!,Unknown,['Fantasy'],1993,,G,6.12,7323.0,12077.0,205.0
Doraemon: It's Summer!,Unknown,"['Kids', 'Adventure', 'Fantasy', 'Comedy', 'Shounen']",1986,,PG,6.51,5732.0,9395.0,746.0
Doraemon: It's Winter!,Unknown,"['Kids', 'Adventure', 'Fantasy', 'Comedy', 'Shounen']",1986,,PG,6.66,5049.0,9193.0,826.0
Dorami-chan: A Blue Straw Hat,Unknown,"['Kids', 'Fantasy']",1994,,G,5.63,10778.0,12297.0,188.0
Doraemon: Treasure of the Shinugumi Mountain,Unknown,"['Adventure', 'Comedy', 'Fantasy', 'Kids', 'Shounen']",1988,,PG,6.53,5655.0,9705.0,627.0
Dorami & Doraemons: Space Land's Critical Event,Unknown,"['Kids', 'Adventure', 'Fantasy', 'Comedy', 'Sci-Fi', 'Shounen']",2001,,PG,6.72,4794.0,9591.0,667.0
Dorami & Doraemons: Robot School's Seven Mysteries,Unknown,['Fantasy'],1996,,PG,6.9,4004.0,9205.0,824.0
Dorami-chan: Mini-Dora SOS!!!,Unknown,"['Kids', 'Fantasy']",1989,,G,6.37,6309.0,11348.0,280.0
Doraemon: 2112-nen Doraemon Tanjou,Unknown,"['Kids', 'Fantasy', 'Comedy']",1995,,PG,7.32,2379.0,7461.0,1909.0
Doraemon: Obaachan no Omoide,Unknown,"['Comedy', 'Fantasy', 'Kids', 'Sci-Fi', 'Shounen']",2000,,PG,7.48,1731.0,8399.0,1242.0
"Doraemon Movie: Boku, Momotarou no Nanna no Sa",Unknown,"['Adventure', 'Fantasy', 'Kids', 'Sci-Fi', 'Shounen']",1981,,PG,6.7,4875.0,8964.0,925.0
Doraemon: Doraemon Comes Back (Movie),Unknown,"['Comedy', 'Kids', 'Fantasy']",1998,,PG,7.07,3381.0,8902.0,962.0
Doraemon: The Day When I Was Born,Unknown,"['Kids', 'Fantasy', 'Comedy', 'Sci-Fi', 'Shounen']",2002,,PG,7.17,2985.0,8690.0,1071.0
Doraemon: Ganbare! Gian!!,Unknown,"['Adventure', 'Comedy', 'Fantasy', 'Kids', 'Shounen']",2001,,PG,6.69,4915.0,9322.0,772.0
Doraemon Movie 22: Nobita to Tsubasa no Yuusha-tachi,Unknown,"['Adventure', 'Fantasy', 'Kids', 'Shounen']",2001,,PG,7.37,2179.0,7348.0,2007.0
Doraemon Movie 23: Nobita to Robot Kingdom,Unknown,"['Adventure', 'Comedy', 'Fantasy', 'Kids', 'Shounen']",2002,,PG,7.29,2501.0,6294.0,3181.0
Doraemon Movie 25: Nobita no Wan Nyan Jikuuden,Unknown,"['Adventure', 'Comedy', 'Kids', 'Sci-Fi']",2004,,PG,7.47,1762.0,7085.0,2256.0
Doraemon Movie 08: Nobita to Ryuu no Kishi,Unknown,"['Adventure', 'Comedy', 'Fantasy', 'Kids', 'Shounen']",1987,,PG,7.17,2984.0,7313.0,2036.0
Doraemon Movie 09: Nobita no Parallel Saiyuuki,Unknown,"['Adventure', 'Fantasy', 'Kids', 'Sci-Fi', 'Shounen']",1988,,PG,7.29,2500.0,7549.0,1831.0
Doraemon Movie 14: Nobita to Buriki no Labyrinth,Unknown,['Fantasy'],1993,,PG,7.22,2774.0,7357.0,1997.0
Doraemon: Nobita's the Night Before a Wedding,Unknown,['Fantasy'],1999,,PG,7.39,2089.0,8114.0,1405.0
Doraemon Movie 13: Nobita to Kumo no Oukoku,Unknown,"['Adventure', 'Comedy']",1992,,PG,7.35,2265.0,6652.0,2746.0
Doraemon Movie 02: Nobita no Uchuu Kaitakushi,Unknown,"['Adventure', 'Comedy', 'Fantasy', 'Kids', 'Shounen']",1981,,PG,7.14,3114.0,7653.0,1743.0
Doraemon Movie 19: Nobita no Nankai Daibouken,Unknown,"['Adventure', 'Comedy', 'Fantasy', 'Kids', 'Sci-Fi', 'Shounen']",1998,,PG,7.2,2853.0,7070.0,2265.0
Doraemon Movie 07: Nobita to Tetsujin Heidan,Manga,"['Adventure', 'Comedy', 'Kids', 'Fantasy', 'Mecha', 'Shounen']",1986,,PG,7.45,1828.0,7121.0,2223.0
Doraemon Movie 10: Nobita no Nippon Tanjou,Unknown,"['Adventure', 'Comedy', 'Fantasy', 'Kids', 'Shounen']",1989,,PG,7.27,2569.0,7556.0,1826.0
Doraemon Movie 04: Nobita no Kaitei Kiganjou,Unknown,['Fantasy'],1983,,PG,7.22,2773.0,7486.0,1887.0
Doraemon Movie 20: Nobita no Uchuu Hyouryuuki,Unknown,"['Adventure', 'Comedy', 'Fantasy', 'Kids', 'Shounen', 'Space']",1999,,PG,7.25,2655.0,7651.0,1745.0
Doraemon Movie 06: Nobita no Little Star Wars,Unknown,"['Fantasy', 'Space']",1985,,PG,7.11,3238.0,7632.0,1763.0
Doraemon Movie 12: Nobita no Dorabian Nights,Unknown,"['Adventure', 'Comedy', 'Fantasy', 'Kids', 'Shounen']",1991,,PG,7.28,2542.0,6429.0,3026.0
Doraemon Movie 03: Nobita no Daimakyou,Unknown,['Adventure'],1982,,PG,7.22,2772.0,7408.0,1956.0
Doraemon Movie 05: Nobita no Makai Daibouken,Unknown,['Fantasy'],1984,,PG,7.42,1957.0,7381.0,1977.0
Doraemon Movie 27: Nobita no Shin Makai Daibouken - 7-nin no Mahoutsukai,Unknown,"['Adventure', 'Comedy', 'Fantasy']",2007,,PG,7.65,1230.0,6712.0,2680.0
Doraemon Movie 16: Nobita no Sousei Nikki,Unknown,"['Adventure', 'Comedy', 'Fantasy', 'Kids', 'Sci-Fi', 'Shounen']",1995,,PG,7.14,3115.0,8061.0,1437.0
Doraemon Movie 17: Nobita to Ginga Express,Unknown,['Fantasy'],1996,,PG,7.36,2229.0,7120.0,2227.0
Doraemon Movie 15: Nobita to Mugen Sankenshi,Unknown,"['Adventure', 'Fantasy', 'Kids', 'Sci-Fi', 'Shounen']",1994,,PG,7.4,2047.0,7326.0,2029.0
Doraemon Movie 11: Nobita to Animal Planet,Unknown,"['Adventure', 'Comedy', 'Fantasy', 'Kids', 'Sci-Fi', 'Shounen']",1990,,PG,7.3,2459.0,6942.0,2403.0
Doraemon Movie 18: Nobita no Nejimaki City Boukenki,Unknown,"['Adventure', 'Fantasy', 'Kids', 'Shounen']",1997,,PG,7.11,3239.0,8074.0,1426.0
Teki wa Kaizoku: Neko-tachi no Kyouen,Novel,"['Comedy', 'Sci-Fi']",1990,1990,PG-13,6.25,6861.0,8885.0,969.0
One Piece: Straw Hat Theater,Manga,"['Adventure', 'Fantasy', 'Shounen']",2006,2006,PG-13,7.5,1674.0,2847.0,20596.0
Spaceship Agga Ruter,Original,"['Comedy', 'Hentai', 'Sci-Fi', 'Space']",1998,1999,Rx,6.66,nan,7832.0,1598.0
Aoki Densetsu Shoot! (Movie),Unknown,"['Action', 'Sports', 'Shounen']",1994,,PG,6.86,4156.0,7788.0,1632.0
Tokyo Majin Gakuen Kenpucho: Tou Dai Ni Maku,Game,"['Action', 'Mystery', 'Horror', 'Drama', 'Martial Arts', 'Fantasy', 'School']",2007,2007,R,7.35,2295.0,2487.0,26313.0
Buzzer Beater 2nd Season,Web manga,"['Action', 'Sci-Fi', 'Sports', 'Shounen']",2007,2007,PG-13,6.92,3940.0,4793.0,6277.0
Tsubasa: Tokyo Revelations,Manga,"['Action', 'Adventure', 'Drama', 'Romance', 'Fantasy', 'Shounen']",2007,2008,R,8.39,183.0,1313.0,70236.0
Tetsujin 28-gou,Manga,"['Adventure', 'Mecha', 'Sci-Fi', 'Shounen']",1963,1965,G,6.57,5499.0,7626.0,1766.0
Gokuu no Daibouken,Unknown,"['Comedy', 'Fantasy']",1967,1967,G,6.43,6060.0,10447.0,439.0
Akai Koudan Zillion,Game,"['Action', 'Military', 'Sci-Fi', 'Adventure']",1987,1987,PG-13,6.7,4867.0,6529.0,2909.0
Akai Koudan Zillion: Utahime Yakyoku,Unknown,"['Sci-Fi', 'Adventure']",1988,,PG-13,5.96,7803.0,9329.0,769.0
Urban Square: Kouhaku no Tsuigeki,Original,"['Action', 'Mystery', 'Seinen']",1986,,R,6.18,7131.0,8748.0,1043.0
Gensei Shugoshin P-hyoro Ikka,Manga,"['Adventure', 'Fantasy']",1988,,PG-13,5.37,10966.0,11873.0,221.0
CB Chara Go Nagai World,Unknown,"['Action', 'Parody', 'Comedy']",1991,1991,R+,7.0,3663.0,7440.0,1923.0
Detatoko Princess,Manga,"['Comedy', 'Fantasy']",1997,1998,PG-13,6.09,7429.0,7428.0,1935.0
Hidamari no Ki,Manga,"['Historical', 'Drama', 'Samurai']",2000,2000,R+,6.6,5341.0,8550.0,1143.0
Mobile Suit Gundam 0083: The Fading Light of Zeon,Original,"['Action', 'Sci-Fi', 'Adventure', 'Space', 'Mecha']",1992,,PG-13,6.8,4433.0,4880.0,6025.0
Crusher Joe OVA,Light novel,"['Action', 'Sci-Fi', 'Adventure']",1989,1989,R,6.64,5154.0,7515.0,1861.0
Hi-Speed Jecy,Light novel,"['Action', 'Sci-Fi']",1989,1990,R,6.23,6913.0,9362.0,760.0
Uchuu Kaizoku Mito no Daibouken,Unknown,"['Action', 'Comedy', 'Sci-Fi']",1999,1999,PG-13,6.55,5604.0,8055.0,1436.0
Uchuu Kaizoku Mito no Daibouken: Futari no Joou-sama,Unknown,"['Action', 'Comedy', 'Sci-Fi']",1999,1999,PG-13,6.33,6532.0,9198.0,822.0
Bakukyuu Renpatsu!! Super B-Daman,Unknown,"['Game', 'Adventure', 'Kids']",1999,1999,G,6.43,6050.0,9213.0,820.0
Chousoku Spinner,Manga,"['Sports', 'Shounen']",1998,1999,G,6.77,4539.0,6576.0,2849.0
Kaiketsu Jouki Tanteidan,Manga,"['Action', 'Mecha', 'Mystery', 'Police']",1998,1999,PG-13,6.73,4756.0,6479.0,2955.0
Bakusou Kyoudai Let's & Go,Manga,"['Adventure', 'Cars', 'Sports', 'Shounen']",1996,1996,G,6.87,4128.0,4777.0,6349.0
Bakusou Kyoudai Let's & Go WGP,Manga,"['Cars', 'Sports', 'Shounen']",1997,1997,G,7.06,3422.0,6051.0,3532.0
Majime ni Fumajime Kaiketsu Zorori,Unknown,"['Adventure', 'Kids']",2005,2007,PG,6.97,3776.0,9672.0,638.0
Wankorobee,Original,"['Comedy', 'Fantasy', 'Kids']",1996,1997,G,5.48,13419.0,12714.0,164.0
Bakusou Kyoudai Let's & Go MAX,Manga,"['Cars', 'Shounen', 'Sports']",1998,1998,G,6.68,4954.0,7096.0,2250.0
Nintama Rantarou Movie,Unknown,"['Comedy', 'Shounen']",1996,,G,6.66,5067.0,10791.0,367.0
Shiratori Reiko de Gozaimasu!,Manga,"['Comedy', 'Romance']",1990,,PG-13,5.64,12871.0,11480.0,264.0
Rockman.EXE Beast+,Unknown,"['Action', 'Adventure', 'Game', 'Mecha', 'Sci-Fi', 'Shounen']",2006,2006,PG,7.01,3644.0,5585.0,4296.0
Sotsugyou: Graduation,Visual novel,"['Drama', 'School']",1995,1995,PG-13,6.22,6970.0,9339.0,767.0
Totsuzen! Neko no Kuni Banipal Witt,Unknown,['Adventure'],1995,,G,6.9,4037.0,7776.0,1640.0
Urayasu Tekkin Kazoku,Unknown,"['Comedy', 'Shounen']",1998,1998,R,7.08,3370.0,8384.0,1252.0
Ginga Tetsudou Monogatari: Eien e no Bunkiten,Original,"['Action', 'Adventure', 'Space', 'Drama', 'Sci-Fi']",2006,2007,PG-13,6.98,3731.0,6717.0,2677.0
Umi no Triton,Manga,"['Adventure', 'Fantasy', 'Shounen']",1972,1972,G,6.49,5853.0,8722.0,1055.0
MapleStory,Game,"['Action', 'Kids', 'Fantasy', 'Comedy', 'Romance']",2007,2008,PG,5.44,9042.0,5855.0,3832.0
Reinou Tantei Miko,Unknown,"['Comedy', 'Hentai']",2000,2001,Rx,5.82,nan,8288.0,1298.0
Crusher Joe,Manga,"['Action', 'Sci-Fi', 'Adventure', 'Space']",1983,,R+,6.9,4002.0,5847.0,3856.0
Daicon Opening Animations,Other,"['Action', 'Sci-Fi', 'Adventure', 'Music', 'Mecha']",1981,1983,PG,7.74,1008.0,3708.0,11687.0
Tenchi Muyou!: Galaxy Police Mihoshi Space Adventure,Original,"['Comedy', 'Magic', 'Parody', 'Police', 'Sci-Fi', 'Shounen', 'Space']",1994,,PG-13,6.89,4074.0,4557.0,7142.0
Sukeban Deka,Manga,"['Action', 'Police', 'Drama', 'School', 'Shoujo']",1991,1991,R,6.48,5878.0,6661.0,2734.0
Sweet Valerian,Original,"['Action', 'Comedy', 'Magic', 'School', 'Shoujo']",2004,2004,G,5.8,8251.0,7288.0,2056.0
TWO-MIX: White Reflection,Music,['Music'],1997,,G,6.88,4121.0,7337.0,2018.0
X²: Double X,Manga,"['Music', 'Drama', 'Shoujo']",1993,,PG-13,6.57,5507.0,5970.0,3648.0
1+2=Paradise,Manga,"['Comedy', 'Ecchi', 'Harem', 'Romance', 'Seinen']",1990,1990,R+,5.09,9617.0,5076.0,5477.0
Baby Baachan,Original,"['Comedy', 'Drama']",2002,2002,G,6.66,5041.0,10016.0,541.0
MiniPato,Original,['Parody'],2002,2002,PG,6.53,5666.0,7044.0,2287.0
Mazinkaiser: Shitou! Ankoku Dai Shogun,Manga,"['Action', 'Mecha']",2003,,R,7.28,2551.0,6443.0,3004.0
Mugen Senki Portriss,Unknown,"['Action', 'Mecha', 'Sci-Fi', 'Shounen']",2003,2004,PG,5.61,12106.0,11410.0,269.0
Mojakou,Unknown,"['Comedy', 'Fantasy', 'Sci-Fi']",1995,1997,G,7.26,2635.0,7882.0,1557.0
Kouryuu no Mimi: Mina no Shou,Manga,"['Action', 'Super Power', 'Drama']",1995,1995,R+,5.12,9583.0,9986.0,551.0
Kasumin 3rd Season,Unknown,"['Kids', 'Fantasy']",2003,2003,PG,6.26,6804.0,10831.0,363.0
Monkey Turn,Manga,"['Action', 'Sports', 'Drama', 'Shounen']",2004,2004,PG-13,6.36,6381.0,9124.0,854.0
Monkey Turn V,Manga,"['Action', 'Sports', 'Drama', 'Shounen']",2004,2004,PG-13,6.56,5542.0,10672.0,392.0
Mobile Suit Gundam SEED: SEED Supernova - Tanekyara Gekijou,Original,"['Parody', 'Comedy']",2007,,PG-13,7.56,1487.0,4754.0,6447.0
Potemayo,4-koma manga,"['Comedy', 'School', 'Seinen']",2007,2007,PG-13,7.35,2280.0,3518.0,13369.0
Jigoku Sensei Nube OVA,Unknown,"['Action', 'Supernatural', 'Comedy', 'School', 'Demons', 'Horror', 'Shounen']",1998,1999,PG-13,7.3,2469.0,7412.0,1945.0
Vexille: 2077 Nihon Sakoku,Original,"['Action', 'Military', 'Sci-Fi']",2007,,PG-13,7.0,3687.0,3183.0,16458.0
Tetsuwan Atom,Manga,"['Action', 'Adventure', 'Drama', 'Mecha', 'Sci-Fi', 'Shounen']",1963,1966,PG,7.24,2721.0,4543.0,7190.0
Dash! Kappei,Unknown,"['Comedy', 'Sports', 'Ecchi', 'Shounen']",1981,1982,PG-13,7.28,2539.0,6052.0,3529.0
Heisei Inu Monogatari Bow,Original,"['Adventure', 'Comedy']",1993,1994,G,6.84,4248.0,9727.0,622.0
Miyori no Mori,Manga,"['Slice of Life', 'Fantasy', 'Drama']",2007,,G,7.01,3638.0,4218.0,8634.0
Tennis no Ouji-sama: Zenkoku Taikai-hen - Semifinal,Unknown,"['Action', 'Comedy', 'Sports']",2007,2008,PG-13,8.04,519.0,2471.0,26603.0
Ushiro no Shoumen Daare,Novel,"['Historical', 'Drama']",1991,,G,7.88,753.0,4788.0,6310.0
Cleopatra D.C.,Manga,"['Action', 'Adventure', 'Sci-Fi']",1989,1991,R+,5.98,7756.0,7618.0,1774.0
Cleopatra,Unknown,"['Sci-Fi', 'Hentai', 'Historical']",1970,,Rx,5.79,nan,6660.0,2735.0
Cheonnyeon-yeowoo Yeowoobi,Original,"['Sci-Fi', 'Drama', 'Fantasy']",2007,,PG,7.36,2226.0,3823.0,10866.0
Juuni Senshi Bakuretsu Eto Ranger,Original,"['Action', 'Fantasy', 'Comedy']",1995,1996,PG-13,6.97,3767.0,8398.0,1244.0
Shippuu! Iron Leaguer,Original,"['Mecha', 'Sci-Fi', 'Shounen', 'Sports']",1993,1994,PG-13,7.16,3056.0,9470.0,716.0
Evangelion: 1.0 You Are (Not) Alone,Original,"['Action', 'Sci-Fi', 'Mecha']",2007,,PG-13,8.14,383.0,300.0,269316.0
Densetsu Kyojin Ideon: Sesshoku-hen,Unknown,"['Sci-Fi', 'Space', 'Drama', 'Mecha']",1982,,PG-13,6.22,6950.0,6847.0,2513.0
Densetsu Kyojin Ideon: Hatsudou-hen,Unknown,"['Drama', 'Mecha', 'Sci-Fi', 'Space']",1982,,R+,7.84,814.0,5457.0,4550.0
Igano Kabamaru,Manga,"['Action', 'Adventure', 'Comedy', 'Romance', 'School', 'Shounen']",1983,1984,PG-13,8.03,529.0,4602.0,6958.0
Momotarou: Umi no Shinpei,Original,"['Action', 'Military']",1945,,G,5.3,9308.0,8391.0,1246.0
Super Doll Licca-chan,Unknown,"['Adventure', 'Magic', 'Comedy']",1998,1999,G,6.63,5234.0,6880.0,2470.0
Taneyamagahara no Yoru,Other,"['Fantasy', 'Kids', 'Psychological', 'Slice of Life']",2006,,PG,5.68,8539.0,6085.0,3476.0
CLAMP in Wonderland 2,Unknown,"['Action', 'Fantasy', 'Magic', 'Comedy', 'Romance', 'Music', 'Drama']",2007,,G,7.56,1473.0,3205.0,16244.0
Galactic Patrol Lensman,Unknown,"['Action', 'Adventure', 'Sci-Fi']",1984,1985,PG-13,6.47,5907.0,9262.0,796.0
SF Shinseiki Lensman,Unknown,"['Action', 'Sci-Fi', 'Adventure', 'Space']",1984,,PG-13,6.24,6890.0,7393.0,1965.0
Chou Kuse ni Narisou,Manga,"['Slice of Life', 'Comedy', 'Romance', 'School', 'Shoujo']",1994,1995,PG-13,6.41,6141.0,8607.0,1116.0
Juushin Enbu: Hero Tales,Manga,"['Action', 'Fantasy', 'Shounen']",2007,2008,PG-13,6.93,3911.0,2862.0,20379.0
Genocyber,Manga,"['Action', 'Sci-Fi', 'Horror', 'Psychological', 'Mecha']",1994,1994,R,5.97,7785.0,2940.0,19236.0
Sotsugyou M: Ore-tachi no Carnival,Manga,"['Drama', 'School']",1999,1999,PG-13,5.56,8795.0,7944.0,1515.0
Kyoufu no Bio Ningen Saishuu Kyoushi,Unknown,"['Action', 'Adventure', 'Comedy', 'School', 'Supernatural']",1988,,PG-13,5.64,8637.0,7067.0,2266.0
Saint Luminous Jogakuin,Original,"['Mystery', 'Psychological', 'Supernatural']",1998,1998,PG-13,6.13,7309.0,7247.0,2096.0
Fire Emblem,Game,"['Action', 'Adventure', 'Fantasy', 'Magic', 'Shounen']",1996,1996,PG-13,5.79,8255.0,4346.0,8049.0
Oyayubi Hime Monogatari,Book,"['Adventure', 'Fantasy', 'Shoujo']",1992,1992,G,6.73,4773.0,8913.0,956.0
Gift: Eternal Rainbow - Ki no Saka Ryokan Kiki Ippatsu!!,Visual novel,"['Harem', 'Comedy', 'Magic', 'Romance', 'Ecchi']",2007,,PG-13,6.83,4278.0,4808.0,6238.0
OZ,Manga,"['Action', 'Military', 'Sci-Fi', 'Drama', 'Shoujo']",1992,1992,R,5.48,8956.0,8574.0,1130.0
Bakegyamon,Manga,"['Action', 'Game', 'Shounen']",2006,2007,PG,6.76,4600.0,7344.0,2010.0
Shakugan no Shana II (Second),Light novel,"['Action', 'Drama', 'Fantasy', 'Romance', 'School', 'Supernatural']",2007,2008,PG-13,7.7,1120.0,362.0,231616.0
Stratosphera no Yousei,Original,"['Drama', 'Hentai', 'Romance', 'Sci-Fi']",2002,2002,Rx,5.78,nan,7175.0,2163.0
B-Legend! Battle B-Daman,Manga,"['Adventure', 'Fantasy', 'Game', 'Kids']",2004,2004,PG,6.35,6401.0,4174.0,8816.0
Oira Sukeban,Manga,"['Comedy', 'Ecchi', 'School']",1992,,PG-13,5.47,8972.0,8370.0,1259.0
Makasete Iruka!,Manga,"['Action', 'Comedy', 'School']",2004,,G,6.22,6962.0,8477.0,1186.0
Panzer Dragoon,Game,"['Adventure', 'Fantasy']",1996,,PG-13,3.18,10265.0,7835.0,1596.0
Hi no Tori 2772: Ai no CosmoZone,Original,"['Sci-Fi', 'Adventure', 'Space', 'Drama', 'Romance', 'Fantasy']",1980,,G,6.76,4617.0,6905.0,2437.0
Kussetsu,Unknown,['Hentai'],2002,2002,Rx,6.07,nan,9097.0,868.0
Dragonaut: The Resonance,Original,"['Action', 'Drama', 'Fantasy', 'Mecha', 'Romance', 'Sci-Fi']",2007,2008,R+,6.75,4663.0,1522.0,57499.0
Afro-Ken,Unknown,"['Comedy', 'Kids']",2001,,G,5.2,9452.0,6840.0,2521.0
Koukou Tekken-den Tough,Manga,"['Action', 'Martial Arts', 'Shounen']",2002,2002,R,7.11,3249.0,6340.0,3126.0
Hatsu Inu The Animation,Manga,['Hentai'],2007,2007,Rx,7.39,nan,2994.0,18667.0
Hello! Sandybell,Original,"['Adventure', 'Romance', 'Shoujo']",1981,1982,G,7.12,3196.0,6036.0,3549.0
Candy Candy: Candy no Natsu Yasumi,Unknown,"['Slice of Life', 'Drama', 'Shoujo']",1978,,G,6.78,4501.0,8105.0,1411.0
Densetsu no Yuusha Da Garn,Unknown,"['Mecha', 'Sci-Fi', 'Shounen']",1992,1993,PG-13,7.25,2654.0,6722.0,2662.0
Hana no Mahoutsukai Mary Bell,Original,"['Adventure', 'Magic', 'Fantasy', 'Shoujo']",1992,1993,G,6.66,5057.0,7962.0,1500.0
Yadamon,Unknown,"['Adventure', 'Comedy', 'Fantasy']",1992,1993,PG-13,6.37,6352.0,9624.0,656.0
Irregular Hunter X: The Day of Sigma,Game,"['Action', 'Sci-Fi', 'Mecha', 'Shounen']",2005,,PG,7.31,2428.0,4329.0,8143.0
Fuusen Shoujo Temple-chan,Unknown,"['Adventure', 'Comedy', 'Kids']",1977,1978,G,6.45,5982.0,11199.0,300.0
Anime Himitsu no Hanazono,Book,"['Kids', 'Historical', 'Drama', 'Shoujo']",1991,1992,G,7.1,3274.0,6383.0,3091.0
Soratobu Yuureisen,Original,"['Adventure', 'Drama', 'Mecha', 'Sci-Fi']",1969,,PG,6.78,4528.0,6125.0,3407.0
Chiisana Ahiru no Ooki na Ai no Monogatari: Ahiru no Kwak,Other,"['Adventure', 'Fantasy', 'Comedy', 'Drama', 'Kids']",1989,1990,G,7.38,2144.0,5704.0,4085.0
Dondon Domeru to Ron,Original,"['Comedy', 'Kids']",1988,1989,G,6.78,4506.0,9522.0,695.0
Geragera Boes Monogatari,Other,"['Comedy', 'Kids']",1987,1988,G,7.12,3192.0,8591.0,1122.0
Toushou Daimos,Unknown,"['Adventure', 'Drama', 'Mecha', 'Romance', 'Sci-Fi', 'Shounen']",1978,1979,PG,7.25,2683.0,5888.0,3785.0
Cinderella Monogatari,Unknown,"['Adventure', 'Kids', 'Romance', 'Fantasy']",1996,1996,G,7.44,1862.0,5373.0,4729.0
Madou King Granzort,Original,"['Action', 'Sci-Fi', 'Comedy', 'Magic', 'Fantasy', 'Mecha', 'Shounen']",1989,1990,G,7.29,2515.0,8386.0,1250.0
Dragon Quest: Abel Yuusha Densetsu,Game,"['Action', 'Adventure', 'Fantasy', 'Shounen']",1989,1991,G,7.05,3466.0,6440.0,3013.0
Time Travel Tondekeman!,Original,"['Action', 'Kids', 'Adventure', 'Comedy']",1989,1990,PG-13,7.42,1987.0,8236.0,1330.0
Bad End,Unknown,['Hentai'],2002,2003,Rx,5.41,nan,7504.0,1873.0
Barbapapa,Picture book,"['Fantasy', 'Comedy']",1974,1975,PG,6.2,7017.0,7635.0,1760.0
Barbapapa Sekai wo Mawaru,Picture book,"['Adventure', 'Comedy']",1999,1999,G,6.03,7612.0,9526.0,691.0
Arabian Nights: Sindbad no Bouken (TV),Book,"['Adventure', 'Fantasy', 'Magic', 'Romance']",1975,1976,G,7.26,2607.0,5851.0,3845.0
Oz no Mahoutsukai (1986),Book,"['Adventure', 'Kids', 'Fantasy']",1986,1987,G,6.82,4346.0,8165.0,1374.0
Calimero,Unknown,['Comedy'],1974,1975,G,6.26,6795.0,6549.0,2883.0
Ie Naki Ko,Novel,"['Adventure', 'Drama', 'Historical', 'Kids', 'Slice of Life']",1977,1978,G,7.83,842.0,4569.0,7103.0
Ie Naki Ko Remy,Novel,"['Adventure', 'Slice of Life', 'Historical', 'Drama']",1996,1997,G,8.02,542.0,3866.0,10577.0
Chibikko Remi to Meiken Kapi,Unknown,"['Slice of Life', 'Adventure', 'Drama']",1970,,G,6.04,7590.0,10064.0,525.0
Ie Naki Ko (Movie),Unknown,"['Slice of Life', 'Adventure', 'Drama']",1980,,PG,6.69,4928.0,9535.0,688.0
Ani*Kuri15,Original,"['Slice of Life', 'Adventure', 'Fantasy', 'Magic', 'Game', 'Martial Arts', 'Comedy', 'Mecha', 'Super Power', 'Supernatural', 'School', 'Drama', 'Sci-Fi']",2007,2007,PG-13,6.9,4000.0,3193.0,16361.0
Gulliver no Uchuu Ryokou,Unknown,"['Adventure', 'Sci-Fi']",1965,,G,6.0,7713.0,9259.0,797.0
Miracle☆Girls,Manga,"['Drama', 'Magic', 'Shoujo']",1993,1993,G,7.25,2669.0,6569.0,2854.0
Patalliro!,Manga,"['Adventure', 'Comedy', 'Romance', 'Shoujo', 'Shounen Ai']",1982,1983,PG,7.56,1490.0,5852.0,3847.0
