name,source,genre,year_from,year_to,rating,score,rank,popularity,members
D.C.: Da Capo,Visual novel,"['Harem', 'Drama', 'Magic', 'Romance']",2003,2003,PG-13,6.86,4164.0,1485.0,59502.0
DearS,Manga,"['Sci-Fi', 'Harem', 'Comedy', 'Romance', 'Ecchi', 'Shounen']",2004,2004,R+,6.73,4750.0,882.0,110662.0
Rozen Maiden,Manga,"['Action', 'Comedy', 'Drama', 'Magic', 'Seinen']",2004,2004,PG-13,7.52,1617.0,610.0,154546.0
Rozen Maiden: Träumend,Manga,"['Action', 'Comedy', 'Drama', 'Magic', 'Seinen']",2005,2006,PG-13,7.73,1053.0,1104.0,84149.0
Basilisk: Kouga Ninpou Chou,Manga,"['Action', 'Adventure', 'Historical', 'Supernatural', 'Romance', 'Samurai', 'Fantasy']",2005,2005,R,7.64,1249.0,722.0,132611.0
Cluster Edge,Original,"['Action', 'Fantasy', 'Military', 'Sci-Fi']",2005,2006,PG-13,6.44,6013.0,4332.0,8136.0
Full Metal Panic!,Light novel,"['Action', 'Military', 'Sci-Fi', 'Comedy', 'Mecha']",2002,2002,R,7.74,1013.0,203.0,340901.0
Full Metal Panic? Fumoffu,Light novel,"['Action', 'Comedy', 'School']",2003,2003,PG-13,8.14,385.0,399.0,215819.0
Full Metal Panic! The Second Raid,Light novel,"['Action', 'Military', 'Mecha']",2005,2005,R,8.02,536.0,456.0,195923.0
Soukyuu no Fafner: Dead Aggressor,Original,"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi']",2004,2004,PG-13,7.35,2286.0,2124.0,34454.0
Mahou Shoujo Lyrical Nanoha,Original,"['Action', 'Comedy', 'Drama', 'Magic', 'Super Power']",2004,2004,PG-13,7.48,1741.0,1209.0,77124.0
Mahou Shoujo Lyrical Nanoha A's,Original,"['Action', 'Comedy', 'Drama', 'Magic', 'Super Power']",2005,2005,PG-13,8.05,499.0,1672.0,49952.0
Shuffle!,Visual novel,"['Comedy', 'Drama', 'Ecchi', 'Fantasy', 'Harem', 'Magic', 'Romance', 'School', 'Seinen']",2005,2006,R+,7.21,2835.0,433.0,202630.0
Mobile Suit Gundam,Original,"['Action', 'Military', 'Sci-Fi', 'Space', 'Mecha']",1979,1980,PG-13,7.85,804.0,1270.0,72598.0
Mobile Suit Gundam: The 08th MS Team,Original,"['Military', 'Sci-Fi', 'Adventure', 'Drama', 'Romance', 'Mecha']",1996,1999,PG-13,8.09,458.0,1715.0,48063.0
Mobile Suit Gundam 0080: War in the Pocket,Original,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",1989,1989,PG-13,7.88,742.0,2208.0,32457.0
Mobile Suit Gundam: The 08th MS Team - Miller's Report,Original,"['Military', 'Sci-Fi', 'Drama', 'Romance', 'Mecha']",1998,,PG-13,6.9,4029.0,3999.0,9829.0
Mobile Suit Gundam 0083: Stardust Memory,Original,"['Military', 'Sci-Fi', 'Adventure', 'Space', 'Drama', 'Romance', 'Mecha']",1991,1992,PG-13,7.4,2064.0,2448.0,26920.0
Mobile Suit Zeta Gundam,Original,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Romance', 'Mecha']",1985,1986,PG-13,7.99,586.0,1923.0,40759.0
Mobile Suit Gundam ZZ,Original,"['Space', 'Comedy', 'Mecha', 'Military', 'Drama', 'Sci-Fi']",1986,1987,PG-13,6.73,4768.0,2642.0,23757.0
Mobile Suit Gundam: Char's Counterattack,Novel,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",1988,,PG-13,7.74,1019.0,2491.0,26241.0
Mobile Suit Gundam F91,Unknown,"['Drama', 'Mecha', 'Military', 'Sci-Fi', 'Space']",1991,,PG-13,6.78,4521.0,3050.0,18010.0
Mobile Suit Victory Gundam,Original,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",1993,1994,PG-13,6.85,4214.0,3167.0,16608.0
Mobile Suit Gundam Wing,Original,"['Action', 'Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",1995,1996,PG-13,7.82,867.0,909.0,108562.0
Mobile Suit Gundam Wing: Endless Waltz,Original,"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi', 'Space']",1997,1997,PG-13,7.85,805.0,2118.0,34585.0
After War Gundam X,Original,"['Sci-Fi', 'Adventure', 'Space', 'Drama', 'Mecha']",1996,1996,PG-13,7.36,2219.0,2637.0,23787.0
Mobile Suit Gundam SEED Destiny,Original,"['Action', 'Space', 'Mecha', 'Romance', 'Military', 'Drama', 'Sci-Fi']",2004,2005,R,7.3,2479.0,1191.0,78312.0
Turn A Gundam,Original,"['Action', 'Military', 'Sci-Fi', 'Adventure', 'Space', 'Drama', 'Romance', 'Mecha']",1999,2000,PG-13,7.73,1058.0,2420.0,27476.0
Mobile Fighter G Gundam,Original,"['Sci-Fi', 'Adventure', 'Space', 'Comedy', 'Sports', 'Drama', 'Romance', 'Martial Arts', 'Mecha']",1994,1995,PG-13,7.6,1367.0,1778.0,45765.0
Last Exile,Original,"['Action', 'Sci-Fi', 'Adventure']",2003,2003,PG-13,7.89,722.0,743.0,129036.0
Mai-HiME,Original,"['Action', 'Comedy', 'Drama', 'Fantasy', 'Magic', 'Mecha', 'Romance', 'School', 'Shoujo Ai']",2004,2005,PG-13,7.53,1580.0,1050.0,89769.0
Mai-Otome,Original,"['Comedy', 'Drama', 'Fantasy', 'Magic']",2005,2006,PG-13,7.36,2242.0,1904.0,41658.0
Air,Visual novel,"['Slice of Life', 'Supernatural', 'Drama', 'Romance']",2005,2005,PG-13,7.41,1994.0,381.0,224570.0
Aishiteruze Baby★★,Manga,"['Comedy', 'Drama', 'Romance', 'Shoujo']",2004,2004,PG-13,7.54,1541.0,1202.0,77444.0
Akazukin Chacha,Manga,"['Adventure', 'Comedy', 'Fantasy', 'Magic', 'Romance', 'Shoujo']",1994,1995,G,7.46,1797.0,4019.0,9766.0
Ayashi no Ceres,Manga,"['Adventure', 'Comedy', 'Horror', 'Psychological', 'Supernatural', 'Drama', 'Romance', 'Shoujo']",2000,2000,R,7.33,2335.0,1775.0,45839.0
Boys Be...,Manga,"['Slice of Life', 'Comedy', 'Romance', 'Shounen']",2000,2000,PG-13,6.52,5690.0,3087.0,17520.0
