date,weapon laws,warrants,non-criminal,personal crimes,other,property crimes,financial ,statutory crimes,secondary codes,suspicious occ,trespass,runaway,family offenses,suicide,liquor laws
2016-03-25,1,24,51,44,70,182,3,28,5,10,5,0,0,0,0
2016-03-26,8,21,51,60,58,191,12,24,6,13,3,2,0,0,0
2016-03-27,10,20,48,49,52,159,6,16,5,14,5,0,0,0,3
2016-03-28,9,12,46,49,54,177,12,16,3,8,6,0,0,0,0
2016-03-29,5,18,54,54,61,178,9,33,3,16,5,0,0,0,0
2016-03-30,11,20,52,50,52,180,11,21,3,14,6,0,0,1,0
2016-03-31,2,24,46,46,49,179,15,54,2,12,5,1,0,0,0
2016-04-01,7,21,66,78,73,206,17,28,4,21,4,0,0,0,0
2016-04-02,2,24,56,57,62,175,11,29,7,13,0,0,0,0,0
2016-04-03,1,10,62,51,52,160,8,22,4,11,1,0,1,0,1
2016-04-04,4,20,53,62,72,180,9,22,5,23,7,0,0,1,1
2016-04-05,1,19,71,35,61,161,4,16,3,10,8,0,0,0,1
2016-04-06,5,31,54,61,68,139,12,24,6,16,5,1,0,0,0
2016-04-07,1,18,61,49,55,185,20,22,4,17,2,0,0,1,0
2016-04-08,5,28,54,62,49,146,14,25,6,19,8,0,0,0,1
2016-04-09,5,14,61,60,47,165,7,21,4,10,6,0,0,0,0
2016-04-10,0,17,42,41,53,133,5,19,7,16,2,0,1,1,1
2016-04-11,4,23,62,49,50,161,21,27,6,10,1,2,0,1,0
2016-04-12,5,17,51,49,69,155,11,20,11,12,8,1,0,1,0
2016-04-13,4,22,50,53,68,159,5,17,5,13,9,0,0,0,0
2016-04-14,9,17,43,60,59,134,13,14,4,14,2,0,1,0,1
2016-04-15,6,15,60,65,57,174,7,19,9,23,7,2,0,0,1
2016-04-16,3,19,58,49,51,150,5,23,3,18,5,0,0,1,5
2016-04-17,4,21,41,57,47,152,11,21,2,14,1,2,0,0,1
2016-04-18,1,14,48,41,54,161,11,12,3,10,5,0,0,1,1
2016-04-19,5,23,49,52,57,176,7,18,1,15,1,0,0,0,2
2016-04-20,11,26,61,53,87,170,8,30,10,23,2,0,0,0,1
2016-04-21,5,27,41,41,60,166,12,23,8,22,3,1,1,0,0
2016-04-22,4,21,66,48,48,163,11,27,9,13,4,0,0,0,0
2016-04-23,1,24,59,62,60,184,15,14,4,16,5,1,1,0,0
2016-04-24,4,21,49,48,52,153,14,25,1,12,3,0,0,0,0
2016-04-25,6,22,57,38,63,150,5,20,5,12,4,1,0,0,0
2016-04-26,0,15,52,32,53,147,9,16,5,17,4,1,1,0,0
2016-04-27,3,18,55,45,50,159,7,12,3,12,1,0,0,0,0
2016-04-28,1,26,47,37,61,158,11,74,4,19,7,0,0,0,1
2016-04-29,8,16,62,50,60,193,6,12,2,10,6,0,1,1,0
2016-04-30,4,24,61,55,52,175,5,24,1,9,6,0,1,2,5
2016-05-01,5,16,61,71,60,170,11,39,10,22,5,1,0,0,1
2016-05-02,4,15,55,47,48,165,7,21,5,11,3,0,0,0,0
2016-05-03,4,15,42,43,40,145,8,23,7,18,2,0,0,0,3
2016-05-04,6,24,57,39,53,163,5,15,4,16,5,0,0,0,0
2016-05-05,2,19,55,61,81,157,14,25,7,24,9,1,0,0,1
2016-05-06,7,17,56,32,58,200,9,30,9,14,6,0,0,0,0
2016-05-07,5,24,59,51,62,156,12,24,6,15,5,0,0,0,1
2016-05-08,4,19,53,53,29,132,5,14,5,13,3,0,0,0,0
2016-05-09,5,18,36,55,44,137,6,10,0,12,2,0,0,0,1
2016-05-10,4,24,49,42,56,151,5,22,3,21,4,0,0,0,1
2016-05-11,7,19,49,37,64,152,11,21,5,12,3,1,0,0,0
2016-05-12,8,25,39,49,58,160,11,25,5,14,4,0,0,0,0
2016-05-13,6,15,49,54,51,185,10,43,6,15,6,0,0,1,1
2016-05-14,3,27,53,42,54,193,12,13,4,15,5,2,0,2,1
2016-05-15,1,18,76,54,56,186,4,16,5,23,1,0,0,0,0
2016-05-16,0,14,61,54,63,165,15,17,4,23,13,2,0,0,0
2016-05-17,5,27,50,56,59,158,13,33,3,10,15,0,0,0,2
2016-05-18,5,16,46,42,62,161,8,29,1,11,8,0,0,0,3
2016-05-19,6,15,58,37,48,170,10,19,5,12,14,0,0,0,0
2016-05-20,3,21,53,65,62,186,11,20,6,16,7,0,0,0,0
2016-05-21,1,14,60,56,41,170,5,18,5,14,3,0,0,0,0
2016-05-22,3,17,40,42,45,175,8,12,3,12,3,0,0,0,0
2016-05-23,2,20,59,53,68,224,15,16,2,13,10,2,1,0,0
2016-05-24,1,18,57,47,51,208,17,18,5,16,9,1,0,1,0
2016-05-25,8,11,36,51,48,183,10,23,4,17,4,0,0,0,0
2016-05-26,5,17,49,38,50,186,11,19,3,16,8,0,0,0,0
2016-05-27,3,13,53,63,50,220,14,16,3,17,6,0,1,0,0
2016-05-28,4,18,47,40,44,180,9,21,4,13,5,0,1,0,0
2016-05-29,12,8,59,49,43,211,8,16,12,17,8,1,1,0,0
2016-05-30,4,17,37,36,71,180,12,21,5,20,0,2,0,0,0
2016-05-31,3,22,54,62,49,159,12,26,5,14,6,0,0,0,1
2016-06-01,5,26,43,71,66,194,13,23,4,22,7,0,1,0,1
2016-06-02,7,21,60,35,42,183,12,21,7,17,9,0,0,0,0
2016-06-03,6,10,52,68,41,157,11,19,4,11,1,0,0,0,1
2016-06-04,4,10,40,45,46,183,5,15,3,11,6,0,0,0,0
2016-06-05,4,8,44,57,47,175,7,14,2,9,1,0,1,0,0
2016-06-06,2,11,32,35,41,153,9,17,4,12,8,1,0,1,0
2016-06-07,2,15,53,36,58,171,10,14,3,11,7,1,0,0,0
2016-06-08,4,17,47,36,55,168,5,16,6,19,7,0,0,0,1
2016-06-09,3,21,56,45,46,152,7,39,4,14,9,0,0,0,0
2016-06-10,7,17,51,52,56,185,3,13,5,17,10,2,0,0,0
2016-06-11,5,22,45,50,44,158,11,21,5,10,3,1,1,0,0
2016-06-12,2,18,43,47,46,195,10,18,5,11,6,1,0,0,0
2016-06-13,9,11,48,50,29,189,6,11,4,17,2,1,0,1,0
2016-06-14,3,11,33,56,34,186,11,12,4,8,0,0,1,0,2
2016-06-15,8,25,43,55,64,183,8,18,8,18,5,0,0,0,1
2016-06-16,3,18,44,49,58,194,12,24,3,17,2,0,0,1,0
2016-06-17,6,12,68,45,49,184,9,9,3,14,1,0,1,0,0
2016-06-18,3,11,51,50,34,203,6,22,3,14,4,0,0,0,1
2016-06-19,3,13,43,38,41,178,6,16,1,10,4,0,0,0,1
2016-06-20,3,16,47,52,49,170,8,29,6,21,1,0,0,0,1
2016-06-21,0,22,54,49,55,182,15,15,5,18,9,1,0,0,0
2016-06-22,5,10,56,54,68,199,10,19,5,14,11,0,0,0,1
