"EstablishmentID","InspectionID","Ins_TypeDesc","EstablishmentName","PlaceName","Address","Address2","City","State","Zip","TypeDescription","InspectionDate","score","Grade","NameSearch","Intersection"
"104236","1514752","REGULAR","CHONG GARDEN KY","","10341 DIXIE HWY","","LOUISVILLE","KY","40272","FOOD SERVICE","2019-11-08 00:00:00","92","A","CHONG GARDEN KY",""
"88547","1514759","REGULAR","LOURDES HALL","","735 EASTERN PKWY","","LOUISVILLE","KY","40217","RETAIL WITH LIMITED SERVICE","2019-11-11 00:00:00","99","","LOURDES HALL",""
"92371","1514760","REGULAR","SHELBY MART","","901 S SHELBY ST","","LOUISVILLE","KY","40203","PRE-PACKAGED RETAIL","2019-11-11 00:00:00","98","","SHELBY MART",""
"107540","1514761","REGULAR","FOUR PEGS","","1053 GOSS AVE","","LOUISVILLE","KY","40217","FOOD SERVICE","2019-11-11 00:00:00","85","C","FOUR PEGS",""
"109623","1514783","OTHER","CASK SOUTHERN KITCHEN & BAR","","9980 LINN STATION RD","","LOUISVILLE","KY","40223","FOOD SERVICE","2019-10-31 00:00:00","97","","CASK SOUTHERN KITCHEN & BAR",""
"84286","1514795","REGULAR","SHIRAZ MEDITERRANEAN GRILL","","3501 POPLAR LEVEL RD","","LOUISVILLE","KY","40213","FOOD SERVICE","2019-11-08 00:00:00","87","C","SHIRAZ MEDITERRANEAN GRILL",""
"76935","1514796","REGULAR","STARBUCKS #10595","","12605 TAYLORSVILLE RD","","LOUISVILLE","KY","40299","FOOD SERVICE","2019-11-08 00:00:00","98","A","STARBUCKS #10595",""
"109300","1507618","REGULAR","SHADY LANE CAFE","","4806 BROWNSBORO RD","","LOUISVILLE","KY","40207","FOOD SERVICE","2019-10-11 00:00:00","100","A","SHADY LANE CAFE",""
"58771","1507680","REGULAR","FAMILY DOLLAR #23185","","3417 BRECKENRIDGE LN","","LOUISVILLE","KY","40220","PRE-PACKAGED RETAIL","2019-10-11 00:00:00","100","","FAMILY DOLLAR #23185",""
"82610","1507681","REGULAR","KROGER L-780","","10645 DIXIE HWY","","LOUISVILLE","KY","40272","RETAIL-FOOD  10,001 SQ FT OR OVER","2019-10-11 00:00:00","96","A","KROGER L-780",""
"57754","1507682","REGULAR","LANCETA TRADING COMPANY","","3435 BRECKENRIDGE LN","","LOUISVILLE","KY","40220","SUPERMARKET WITH PROCESSING","2019-10-11 00:00:00","96","","LANCETA TRADING COMPANY",""
"103562","1507767","REGULAR","LOUISVILLE ADVENTIST ACADEMY","","2988 NEWBURG RD","","LOUISVILLE","KY","40205","SCHOOL CAFETERIA OR FOOD SERVICE","2019-10-11 00:00:00","100","A","LOUISVILLE ADVENTIST ACADEMY",""
"84024","1516362","REGULAR","RAINBOW BLOSSOM","","3046 BARDSTOWN RD","","LOUISVILLE","KY","40205","RETAIL-FOOD  10,000 SQ FT OR LESS","2019-11-14 00:00:00","98","A","RAINBOW BLOSSOM",""
"109609","1516364","REGULAR","WAFFLE HOUSE #1444","","7715 BARDSTOWN RD","","LOUISVILLE","KY","40291","FOOD SERVICE","2019-11-07 00:00:00","87","C","WAFFLE HOUSE #1444",""
"34003","1519619","REGULAR","HEALING PLACE","","1020 W MARKET ST","","LOUISVILLE","KY","40202","FOOD SERVICE","2019-12-03 00:00:00","97","A","HEALING PLACE",""
"101072","1512434","REGULAR","WALMART #6931","","4840 OUTER LOOP","","LOUISVILLE","KY","40219","RETAIL-FOOD  10,001 SQ FT OR OVER","2019-10-30 00:00:00","99","A","WALMART #6931",""
"88173","1512438","REGULAR","EL NOPAL","","12418 LAGRANGE RD","","LOUISVILLE","KY","40245","FOOD SERVICE","2019-10-30 00:00:00","97","A","EL NOPAL",""
"82908","1512439","REGULAR","SAV-A-STEP","","13702 LAGRANGE RD","","LOUISVILLE","KY","40245","RETAIL-FOOD  10,000 SQ FT OR LESS","2019-10-30 00:00:00","99","A","SAV-A-STEP",""
"100827","1512449","REGULAR","RICE BOX","","6810 SOUTHSIDE DR","","LOUISVILLE","KY","40214","FOOD SERVICE","2019-10-30 00:00:00","100","A","RICE BOX",""
"104672","1512495","REGULAR","FUTURE PIONEERS LEARNING CENTER","","2814 CRUMS LN","","LOUISVILLE","KY","40216","FOOD SERVICE (DAY CARE / CHILD CARE CENTER","2019-10-30 00:00:00","99","A","FUTURE PIONEERS LEARNING CENTER",""
"32866","1512497","REGULAR","KFC EMPLOYEES CAFETERIA","","1441 GARDINER LN","","LOUISVILLE","KY","40213","FOOD SERVICE","2019-10-29 00:00:00","96","A","KFC EMPLOYEES CAFETERIA",""
"107808","1512548","REGULAR","THORNTONS #28","","100 W BROADWAY","","LOUISVILLE","KY","40202","RETAIL-FOOD  10,000 SQ FT OR LESS","2019-10-30 00:00:00","93","","THORNTONS #28",""
"87146","1512564","REGULAR","MARK'S FEED STORE","","10316 DIXIE HWY","","LOUISVILLE","KY","40272","FOOD SERVICE","2019-10-30 00:00:00","99","A","MARK'S FEED STORE",""
"50235","1512831","REGULAR","ALDI #38","","3442 PRESTON HWY","","LOUISVILLE","KY","40217","SUPERMARKET WITH PROCESSING","2019-10-31 00:00:00","100","","ALDI #38",""
"99358","1512834","REGULAR","CHILI'S TOO","","600 TERMINAL DR","","LOUISVILLE","KY","40209","RETAIL-FOOD  10,000 SQ FT OR LESS","2019-10-31 00:00:00","100","","CHILI'S TOO",""
"101260","1512836","REGULAR","COMFY COW","","600 TERMINAL DR","","LOUISVILLE","KY","40209","FOOD SERVICE","2019-10-31 00:00:00","100","A","COMFY COW",""
"44802","1512848","REGULAR","BELLE OF LOUISVILLE","","401 W RIVER RD","","LOUISVILLE","KY","40202","FOOD SERVICE","2019-10-30 00:00:00","100","A","BELLE OF LOUISVILLE",""
"98633","1512852","REGULAR","BUTCHERTOWN GROCERY","","1076 E WASHINGTON ST","","LOUISVILLE","KY","40206","FOOD SERVICE","2019-10-31 00:00:00","100","A","BUTCHERTOWN GROCERY",""
"94234","1512874","REGULAR","GIGI'S CUPCAKES","","1977 S HURSTBOURNE PKWY","","LOUISVILLE","KY","40220","RETAIL BAKERY","2019-10-31 00:00:00","96","","GIGI'S CUPCAKES",""
"57012","1512876","REGULAR","MOBY DICK","","8702 NATIONAL TURNPIKE","","FAIRDALE","KY","40118","FOOD SERVICE","2019-10-31 00:00:00","94","A","MOBY DICK",""
"94491","1512901","REGULAR","TACO LUCHADOR","","938 BAXTER AVE","","LOUISVILLE","KY","40204","FOOD SERVICE","2019-10-31 00:00:00","96","A","TACO LUCHADOR",""
"34175","1512935","FOLLOWUP","EL NOPAL","","4214 OUTER LOOP","","LOUISVILLE","KY","40219","FOOD SERVICE","2019-10-31 00:00:00","99","A","EL NOPAL",""
"45468","1516819","REGULAR","LOTSA PASTA","","3717 LEXINGTON RD","","LOUISVILLE","KY","40207","RETAIL-FOOD  10,000 SQ FT OR LESS","2019-11-18 00:00:00","100","","LOTSA PASTA",""
"109496","1516831","REGULAR","BITTERS END","","101 W MAIN ST","","LOUISVILLE","KY","40202","FOOD SERVICE","2019-11-18 00:00:00","100","A","BITTERS END",""
"109529","1516833","REGULAR","REPEAL BANQUET KITCHEN","","101 W MAIN ST","","LOUISVILLE","KY","40202","FOOD SERVICE","2019-11-18 00:00:00","95","A","REPEAL BANQUET KITCHEN",""
"83581","1516834","REGULAR","FRAZIER  HISTORY MUSEUM","","829 W MAIN ST","","LOUISVILLE","KY","40202","FOOD SERVICE","2019-11-14 00:00:00","100","A","FRAZIER  HISTORY MUSEUM",""
"102654","1516983","REGULAR","SWEET SAVANNAH'S FROZEN YOGURT & TOPPINGS","","10108 TAYLORSVILLE RD","","LOUISVILLE","KY","40299","FOOD SERVICE","2019-11-19 00:00:00","100","A","SWEET SAVANNAH'S FROZEN YOGURT & TOPPINGS",""
"55889","1516990","COMPLAINT","PAPA JOHN'S #22","","5010 PRESTON HWY","","LOUISVILLE","KY","40219","FOOD SERVICE","2019-11-17 00:00:00","","","PAPA JOHN'S #22",""
"101591","1517020","REGULAR","SAKURA BLUE","","4600 SHELBYVILLE RD","","LOUISVILLE","KY","40207","FOOD SERVICE","2019-11-19 00:00:00","99","A","SAKURA BLUE",""
"109887","1528874","REGULAR","EL CANCUN MEXICAN RESTAURANT","","9424 SHELBYVILLE RD","","LOUISVILLE","KY","40222","FOOD SERVICE","2020-01-14 00:00:00","100","A","EL CANCUN MEXICAN RESTAURANT",""
"99119","1528875","REGULAR","SKYLINE CHILI","","340 WHITTINGTON PKWY","","LOUISVILLE","KY","40222","FOOD SERVICE","2020-01-14 00:00:00","100","A","SKYLINE CHILI",""
"105983","1531559","REGULAR","DERBY CITY GAMING","","4520 POPLAR LEVEL RD","","LOUISVILLE","KY","40213","FOOD SERVICE","2020-01-27 00:00:00","100","A","DERBY CITY GAMING",""
"66693","1531570","REGULAR","MCDONALD'S #7536","","5905 TIMBER RIDGE DR","","PROSPECT","KY","40059","FOOD SERVICE","2020-01-27 00:00:00","98","A","MCDONALD'S #7536",""
"45404","1531614","REGULAR","PAPA JOHN'S","","5709 BARDSTOWN RD","","LOUISVILLE","KY","40291","FOOD SERVICE","2020-01-27 00:00:00","97","A","PAPA JOHN'S",""
"101210","1531631","REGULAR","EAGLE FOOD & BEER HALL","","1314 BARDSTOWN RD","","LOUISVILLE","KY","40204","FOOD SERVICE","2020-01-24 00:00:00","99","B","EAGLE FOOD & BEER HALL",""
"44800","1533757","FOLLOWUP","ST. JOSEPH'S HOME FOR THE AGED","","15 AUDUBON PLAZA","","LOUISVILLE","KY","40217","FOOD SERVICE (HOSPITAL / NURSING HOME","2020-02-04 00:00:00","100","A","ST. JOSEPH'S HOME FOR THE AGED",""
"100440","1533760","REGULAR","MCDONALD'S #4924","","3100 POPLAR LEVEL RD","","LOUISVILLE","KY","40219","FOOD SERVICE","2020-02-04 00:00:00","96","A","MCDONALD'S #4924",""
"51477","1509515","REGULAR","BRIGHT START J-TOWN","","9810 TAYLORSVILLE RD","","LOUISVILLE","KY","40299","FOOD SERVICE (DAY CARE / CHILD CARE CENTER","2019-10-21 00:00:00","100","A","BRIGHT START J-TOWN",""
